Ticker,Name,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary
13,HUTCHMED,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,"HUTCHMED (China) Limited, together with its subsidiaries, discovers, develops, and commercializes targeted therapeutics and immunotherapies for cancer and immunological diseases in Hong Kong and internationally. The company develops Savolitinib for the treatment of non-small cell lung cancer (NSCLC), papillary renal cell carcinoma (RCC), and gastric cancer (GC); and Fruquintinib, an inhibitor for colorectal cancer (CRC), breast cancer, gastric cancer, microsatellite stable-CRC endometrial cancer (EMC), NSCLC, RCC, gastrointestinal, cervical, and solid tumors. It also develops Surufatinib, which is used for the treatment of pancreatic neuroendocrine tumor (NET), non-pancreatic NET, neuroendocrine carcinoma, SCLC, biliary tract cancer, and solid tumors; and Sovleplenib that treats hematological cancers and certain chronic immune diseases. In addition, it develops Tazemetostat for the treatment of certain epithelioid sarcoma and follicular lymphoma patients; HMPL-306, an inhibitor for hematological malignancies, gliomas, chondrosarcomas, cholangiocarcinomas, and solid tumors; HMPL-760, a Bruton's tyrosine kinase inhibitor; HMPL-453 for intrahepatic cholangiocarcinoma and solid tumors; HMPL-295 and HMPL-415 for solid tumors; HMPL-653 for metastatic solid tumors and tenosynovial giant cell tumors; and HMPL-A83 for the treatment of malignant neoplasms. It has collaboration agreements with AstraZeneca AB (publ), Lilly (Shanghai) Management Company Limited, Takeda, BeiGene Ltd., Inmagene Biopharmaceuticals Co. Ltd., Innovent Biologics Co., Inc., Genor Biopharma Co. Ltd., Shanghai Junshi Biosciences Co. Ltd., and Epizyme, Inc. The company was formerly known as Hutchison China MediTech Limited and changed its name to HUTCHMED (China) Limited in May 2021. HUTCHMED (China) Limited was incorporated in 2000 and is headquartered in Hong Kong, Hong Kong."
14,HYSAN DEV,Real Estate Services,real-estate-services,Real Estate Services,Real Estate,real-estate,Real Estate,"Hysan Development Co., Ltd. is a leading property investment, management and development company. Its core asset portfolio, Lee Gardens in Hong Kong, has approximately 4.5 million square feet of high-quality office, retail and residential floor area. Hysan has been rooted in Hong Kong for nearly a hundred years, operating with heart, focusing on community building, integration of old and new, technology application, and sustainable development. It positions Lee Gardens as an international modern smart community with Hong Kong characteristics, attracting well-known enterprises, international tourists and local residents. citizens. The Group has continuously strengthened its core assets through scale expansion and precise upgrading and transformation; at the same time, it has also established strategic growth pillars to seize the opportunities brought by the new economy and improve its business from the geographical and industrial layout. Recently, it has also invested in projects such as Shanghai Lee Garden and To Kwa Wan Urban Redevelopment. Hysan has been listed on the Hong Kong Stock Exchange since 1981 under the stock code 00014."
16,SHK PPT,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Sun Hung Kai Properties Limited develops and invests in properties for sale and rent in Hong Kong, Mainland China, and internationally. It develops, sells, and leases properties, including residential estates, offices, shopping malls, industrial offices, and hotels and serviced suites. The company also provides property management services; construction-related services, including landscaping, electrical and mechanical installation, production and installation of wooden doors, and construction plant and machinery leasing; and insurance products to individuals and businesses comprising householder's comprehensive, fire, employees' compensation, travel, personal accident, motor vehicles, contractors' all risks, third party liability, and property all risks. In addition, the company offers voice, multimedia, and mobile broadband services; and data center services, including infrastructure, facility management, server co-location, and other value-added services. Further, it manages car parks, tunnels, and toll roads; facilities management and value-added services; general insurance; offers transport facilities for private and the public sectors; operates an expressway; provides public bus services; and offers airport freight forwarding and aviation support services. Additionally, the company provides container handling and storage, container freight station, and other port-related services; operates department stores and supermarkets; and offers mortgage and other loan financing facilities, as well as offers asset and project management, architectural and engineering, cleaning, and secretarial services. It also engages in the club and road management business. The company was formerly known as Sun Hung Kai (Holdings) Limited and changed its name to Sun Hung Kai Properties Limited in March 1973. The company was incorporated in 1972 and is based in Wan Chai, Hong Kong."
17,NEW WORLD DEV,Real Estate - Diversified,real-estate-diversified,Real Estate - Diversified,Real Estate,real-estate,Real Estate,"New World Development Company Limited, an investment holding company, operates in the property development and investment business in Hong Kong and Mainland China. Its property portfolio includes residential, retail, office, and industrial properties. The company is also involved in the loyalty program, fashion retailing and trading, and land development businesses; and development and operation of sports park. In addition, it operates club houses, golf and tennis academies, and shopping malls; constructs and operates Skycity complex; and operates department stores. Additionally, the company offers information technology, training course, ticketing, financial, project management, retail and corporate sales, management, culture and recreation, construction, estate agency, supply chain management, property management, business and investment consultancy, accountancy, and consultancy services. It also invests in, owns, and operates hotel properties. New World Development Company Limited was incorporated in 1970 and is headquartered in Central, Hong Kong."
18,ORIENTAL E H,Publishing,publishing,Publishing,Communication Services,communication-services,Communication Services,"Oriental Enterprise Holdings Limited, an investment holding company, engages in the publication of newspapers in Hong Kong and Australia. It operates through two segments: Publication of Newspaper and Money Landing Business. The company's flagship publication includes Oriental Daily News, a daily newspaper; and on.cc, an online news portal. Its online publications also comprise Oriental Daily News Web, a news portal; and Oriental Daily News ePaper. In addition, the company operates onCH provides news videos of diversified contents including current affairs, entertainment, industry and economy, sports, lifestyle, and horse racing; Money18, a financial information website; on Football, an online soccer kingdom; and on Racing, which provides racing information catering services. Further, the company engages in property investment; canteen operation; hotel property investment; and provides management, printing, publication, money lending for property mortgage, treasury, transportation, human resource services, as well as operates as advertising agent. The company was formerly known as Oriental Press Group Limited and changed its name to Oriental Enterprise Holdings Limited in August 2021. Oriental Enterprise Holdings Limited was incorporated in 1969 and is headquartered in Tai Po, Hong Kong. Oriental Enterprise Holdings Limited is a subsidiary of Magicway Investment Limited."
19,SWIRE PACIFIC A,Conglomerates,conglomerates,Conglomerates,Industrials,industrials,Industrials,"Swire Pacific Limited engages in property, aviation, beverages, marine, and trading and industrial businesses in Hong Kong, Mainland China, Taiwan, rest of Asia, the United States, and internationally. The company's Property division develops, owns, and operates mixed-use properties. This division's property investment portfolio comprises office towers, shopping malls, hotels, retail space, and serviced apartments, as well as residential projects; and trading portfolio consists of residential properties. It also owns and manages hotels in Hong Kong and hotels in Mainland China, as well as owns interests in the Mandarin Oriental hotel in the United States. The company's Aviation division provides flight catering and ramp, passenger and cargo handling services, and aircraft maintenance and modification services. As of December 31, 2023, it had a fleet of 230 aircraft. Its Beverages division owns rights to manufacture, market, and distribute beverages to consumers. The company's Trading & Industrial division markets, retails, and distributes footwear, apparel, and accessories through its retail outlets; sells passenger cars, commercial vehicles, motorcycles, and scooters; operates a chain of bakeries; packages and sells sugar products under the Taikoo Sugar brand; and offers waste management, business consultancy, and financial services. The company was founded in 1816 and is based in Central, Hong Kong. Swire Pacific Limited is a subsidiary of John Swire & Sons (H.K.) Limited"
20,SENSETIME-W,Software - Application,software-application,Software - Application,Technology,technology,Technology,"SenseTime Group Inc., an investment holding company, develops and sells artificial intelligence software platforms in the People's Republic of China, Northeast Asia, Southeast Asia, and internationally. The company offers SenseFoundry Enterprise Platform to facilitate and accelerate the digital transformation of enterprise customers; SenseFoundry Platform for smart cities; SenseME that enables various IoT devices to facilitate perceptial intelligence and content enhancement; SenseMARS, a software platform that serves as the key enabling technology for the Metaverse applications; SenseCare Smart Health Platform, a diagnostic and treatment assistance solution; SenseAuto Platform for intelligent automobiles; and Sensetime Education that builds an AI education system, as well as AI services. It also offers software development services; AI technology consulting; IC design services; advertisement publishing services; catering; information transportation; and software and information services. In addition, the company is involved in private equity investments; and the development of computer vision technology, as well as digital culture creativity activities. Further, it develops and sells software products, AI technology, and system integration technology; and sells hardware products. SenseTime Group Inc. was incorporated in 2014 and is headquartered in Shanghai, the People's Republic of China."
21,GREAT CHI HLDGS,Real Estate Services,real-estate-services,Real Estate Services,Real Estate,real-estate,Real Estate,"Great China Holdings (Hong Kong) Limited, an investment holding company, engages in the property development and investment business in the People's Republic of China. The company invests in, develops, and sells properties. It also provides property management services, as well as operates a resort. The company was formerly known as Great China Properties Holdings Limited and changed its name to Great China Holdings (Hong Kong) Limited in July 2022. Great China Holdings (Hong Kong) Limited was incorporated in 1954 and is headquartered in Wan Chai, Hong Kong."
22,MEXAN,Building Materials,building-materials,Building Materials,Basic Materials,basic-materials,Basic Materials,"Mexan Limited, an investment holding company, supplies building materials and furniture in Hong Kong and Macau. It operates through Hotel Operation; and Trading of Building Materials and Fit-out Construction Service segments. The company operates Winland 800 Hotel, which consists of 800 rooms in Tsing Yi, New Territories. It also supplies kitchen cabinets, furniture, and decorative lighting; various building materials comprising ceramic tiles, mosaics, carpets, and fabrics, etc.; and natural stones. In addition, the company offers design and construction services for fit-out projects. Further, it provides property holding, self-laundry, and construction services. Mexan Limited was incorporated in 1991 and is based in Tsing Yi, Hong Kong."
23,BANK OF E ASIA,Banks - Regional,banks-regional,Banks - Regional,Financial Services,financial-services,Financial Services,"The Bank of East Asia, Limited, together with its subsidiaries, provides various banking and related financial services. Its personal banking services include corporate, individual, savings, current, time deposit, and supreme accounts; and time deposits, foreign currency deposits, MAS services, and auto-payroll products, as well as safe deposit boxes and remittance services. The company also provides corporate banking services, such as SME loans and financing guarantee schemes; corporate and commercial financing products, including syndicated and construction loans, acquisition and structured financing, working capital financing, share financing and IPO-related loans, and commercial mortgages; trade finance services and expert trade solutions; factoring services; import and export trade finance; guarantee services; eTradeConnect that allows buyers and sellers to connect, transact, share information, and submit applications for financing through a single platform; cash management services; corporate wealth management products; foreign exchange and treasury products; and marine cargo, property, trade credit, employee compensation, life, savings, and endowment insurance plans. In addition, it offers private banking services comprising investment advisory services; investment solutions, such as unit trusts, linked deposits, currency trading and management, global equities and bonds investments, structured products, and options and derivatives; portfolio management services; securities and futures broking services; cyber banking, credit cards, and ATM; and various international services. The company operates outlets in Hong Kong, rest of Greater China, Singapore, Malaysia, the United Kingdom, and the United States. The Bank of East Asia, Limited was incorporated in 1918 and is headquartered in Central, Hong Kong."
25,CHEVALIER INT'L,Conglomerates,conglomerates,Conglomerates,Industrials,industrials,Industrials,"Chevalier International Holdings Limited engages in the construction and engineering, property investment and development, healthcare investment, car dealership, and other businesses. The Construction and Engineering segment offers construction and engineering work for aluminum window and curtain walls, building construction, building supplies, civil engineering, and lifts and escalators, as well as electrical and mechanical, and environmental engineering. The Property Investment segment engages in the rental of properties. The Property Development and Operations segment engages in the property development and management, cold storage, logistics, and hotel operations. The Healthcare Investment segment offers senior housing and medical office building investment. The Car Dealership segment retails, trades in, and services motor vehicles. The Others segment engages in the sale and service of information technology equipment and business machines; food trading business; and freight forwarding business. It also engages in the sale and servicing of automobiles; supply and installation of building materials; grocery trading; building construction and maintenance; installation of electrical and mechanical equipment; insurance brokerage and underwriting; trading and servicing of computers and business machines; and installation of air-conditioning systems. In addition, the company trades in telecommunication equipment, lifts, escalators, electrical and mechanical equipment, and motor vehicles; and provides management, corporate and project management, network systems and solution, security, property management consultation, maintenance, and general construction services. Chevalier International Holdings Limited operates in Hong Kong, Mainland China, the United States, Macau, Canada, Singapore, Thailand, the United Kingdom, Vietnam, and internationally. The company was founded in 1970 and is based in Kowloon Bay, Hong Kong."
26,CHINA MOTOR BUS,Real Estate - Diversified,real-estate-diversified,Real Estate - Diversified,Real Estate,real-estate,Real Estate,"China Motor Bus Company, Limited, together with its subsidiaries, engages in the property development and investment activities in Hong Kong and the United Kingdom. The company operates through Property Development and Investment, and Treasury Management segments. It is also involved in the development, construction, sale, and marketing of the retail, office, and apartment properties; and manages investments, financial assets, and other treasury operations. China Motor Bus Company, Limited was incorporated in 1933 and is headquartered in North Point, Hong Kong."
27,GALAXY ENT,Resorts & Casinos,resorts-casinos,Resorts & Casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Galaxy Entertainment Group Limited, an investment holding company, engages in the gaming and entertainment businesses in Macau, Hong Kong, and Mainland China. It operates through Gaming and Entertainment, and Construction Materials segments. The company operates casino games of chance or games of other forms; and provides hospitality and related services. It develops and operates Galaxy Macau, an integrated resort; Broadway Macau, a landmark entertainment and food street destination; StarWorld Macau, a five-star hotel located in the Macau Peninsula; and City Club casinos. The company also manufactures, sells, and distributes construction materials, including concrete pipes and piles, asphalt, ready-mixed concrete, cement, bricks, concrete products, aggregates, and slag; provides property investment, handling, quality assurance, project management, cross-border transportation, road marking, and security services; and imports, exports, trades in, and transports construction materials. In addition, it is involved in aircraft and vessel holding activities, truck leasing, and provision of road base and bituminous materials. The company was incorporated in 1987 and is based in Central, Hong Kong."
28,TIAN AN,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Tian An China Investments Company Limited, an investment holding company, invests in, develops, and manages properties in the People's Republic of China, Hong Kong, the United Kingdom, and Australia. The company operates through Property Development, Property Investment, and Other Operations segments. It also develops and invests in residential, office, and commercial properties, as well as operates healthcare, hospital, eldercare, and related businesses. In addition, the company is involved in the golf course operations, and hotel management activities. Further, it provides property leasing and estate management, car parking space, securities dealing, and money lending services. The company was incorporated in 1986 and is based in Wan Chai, Hong Kong. Tian An China Investments Company Limited operates as a subsidiary of Allied Group Limited."
29,DYNAMIC HOLD,Real Estate Services,real-estate-services,Real Estate Services,Real Estate,real-estate,Real Estate,"Dynamic Holdings Limited, an investment holding company, engages in the investment and development of properties in the People's Republic of China and Hong Kong. The company's investment properties portfolio comprises offices, shopping malls, car parks, and other amenities, as well as residential, commercial, and retail properties. It also engages in the provision of nominee, management, financing, and management consultancy services. Dynamic Holdings Limited was incorporated in 1992 and is based in Causeway Bay, Hong Kong."
30,YNBY INTL,Capital Markets,capital-markets,Capital Markets,Financial Services,financial-services,Financial Services,"YNBY International Limited, an investment holding company, engages in the e-commerce trading business in Hong Kong, the People's Republic of China, and internationally. It is involved in the raw materials trading business for healthcare products, including sourcing of packaging materials, pharmacy and cosmetics CBD materials, plant extracts, etc.; and manufacturing of cosmetics and healthcare products, as well as related packaging materials. The company also supplies other plant extracts and raw materials comprising packaging materials, sorbitol, steviol glycoside, lauric acid, CBD materials, glycerin, etc. for the healthcare and cosmetics industry; and offers marketing services, product and intellectual property registration services, and sourcing services for original equipment manufacturers (OEM)/ original design manufactures (ODM). The company was formerly known as Ban Loong Holdings Limited and changed its name to YNBY International Limited in September 2023. YNBY International Limited was founded in 1971 and is based in Quarry Bay, Hong Kong."
31,CHINA AEROSPACE,Electronic Components,electronic-components,Electronic Components,Technology,technology,Technology,"China Aerospace International Holdings Limited, an investment holding company, operates hi-tech manufacturing and aerospace service business in Hong Kong, the People's Republic of China, and internationally. The company offers plastic products, liquid crystal display, printed circuit boards, and intelligent chargers, as well as invests in industrial property. It also distributes plastic, metals, and packing products; and manufactures and distributes moulds; engages in electroplating of metals; and offers property management and treasury services. The company was incorporated in 1975 and is based in Hung Hom, Hong Kong."
32,CROSS-HAR(HOLD),Education & Training Services,education-training-services,Education & Training Services,Consumer Defensive,consumer-defensive,Consumer Defensive,"The Cross-Harbour (Holdings) Limited, an investment holding company, engages in motoring school operation, treasury management, securities investment, tunnel operation, and electronic toll collection businesses in Hong Kong. The company operates through Motoring School Operations, Electronic Toll Operations, and Treasury Management segments. It also operates driver training centers; provides telematics services, and intelligent transportation and surveillance system solutions; and manages an investment portfolio, including unlisted funds, equity and debt securities, and bank deposits and cash. In addition, the company offers consultancy and money lending services; and holds properties. It has a fleet of approximately 580 training vehicles, including private cars, light goods vehicles, medium goods vehicles, motorcycles, buses, skid cars, skid bikes, and articulated vehicles. The company was incorporated in 1965 and is based in Wan Chai, Hong Kong."
33,INTL GENIUS,Asset Management,asset-management,Asset Management,Financial Services,financial-services,Financial Services,"International Genius Company, an investment holding company, engages in the trading of party products in the Mainland China and Singapore. It operates through four segments: Tech-driven Investment Management; Advancing Business; Trading of Party Products; and Trading of Commodities. The company trades in of party products including party accessories, decorations, cutlery, and disposable tableware; and purchases various commodities, such as metals and minerals from upstream companies and sells them to downstream companies. It also offers artificial intelligence trading technology solutions for the financial trading market. In addition, the company provides financing services to individual and corporate clients, and asset management and security brokerage services. The company was formerly known as Amber Hill Financial Holdings Limited and changed its name to International Genius Company in September 2022. International Genius Company was incorporated in 2007 and is headquartered in Shenzhen, China."
34,KOWLOON DEV,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Kowloon Development Company Limited, an investment holding company, engages in the investment, development, and management of properties in Hong Kong and Mainland China. Its property portfolio comprises of office premises, retail shops, shopping malls, and car parking bays. The company also provides security, technical, and housekeeping services; building surveying and guarding services; financial investments and services; and project management services, as well as undertakes construction contracts. In addition, it engages in the treasury operations; retail activities; and distribution of films and cinematograph films. The company was founded in 1961 and is headquartered in Mong Kok, Hong Kong. Kowloon Development Company Limited is a subsidiary of Intellinsight Holdings Limited."
35,FE CONSORT INTL,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Far East Consortium International Limited, an investment holding company, engages in the property development and investment activities in Australia, New Zealand, the Czech Republic, Hong Kong, Malaysia, the People's Republic of China, Singapore, the United Kingdom, and the rest of Europe. It develops a portfolio of residential properties; invests in retail and office buildings; and operates hotels. It also engages in hotel operations and management; car park operations and facilities management; gaming and related operations; and securities and financial product investments. In addition, the company owns and operates casinos and gaming facilities, and bars; and provides treasury management, loan financing, consultancy, sales agency, vault, administrative, mortgage, and management services. The company was incorporated in 1990 and is based in Central, Hong Kong."
