Ticker,Co_name,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary
GMG.AX,Goodman Group,Real Estate - Diversified,real-estate-diversified,Real Estate - Diversified,Real Estate,real-estate,Real Estate,"Goodman Group is a global industrial property and digital infrastructure specialist group with operations in key consumer markets across Australia, New Zealand, Asia, Europe, the United Kingdom, and the Americas. Goodman Group, comprised of the stapled entities Goodman Limited, Goodman Industrial Trust and Goodman Logistics (HK) Limited, is the largest property group on the Australian Securities Exchange (ASX: GMG), a top 20 entity by market capitalisation, and one of the largest listed specialist investment managers of industrial property globally. Goodman provides essential infrastructure for the digital economy by owning, developing, and managing high-quality sustainable properties that are close to consumers in key cities around the world. Our property portfolio includes logistics and distribution centres, warehouses, light industrial, multi-storey industrial, business parks and data centres. We take a long-term view, investing significantly alongside our capital partners in our investment management platform and concentrating our portfolio where we can create the most value for customers and investors."
SQ2.AX,"Block, Inc.",Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,"Block, Inc., together with its subsidiaries, builds ecosystems focused on commerce and financial products and services in the United States and internationally. It operates through two segments, Square and Cash App. The Square segment offers commerce products for restaurants, appointments, retail, point of sale, online, online checkout, and invoices, as well as virtual terminals, risk and order managers, and payment and commerce application programming interfaces; managed payment services; software solutions; hardware products, such as registers, terminals, stands, and readers for contactless and chips; banking services consisting of lending, instant transfer, and checking and savings accounts; and full-service setup and support services. This segment also provides loyalty, marketing, team management, and payroll services; and gift cards. The Cash App segment offers financial tools within the mobile Cash App, including peer-to-peer payments, bitcoin, and stock investment brokerage; Cash App Card, a debit card; direct deposit, cash boost, and tax preparation services; and Afterpay, a buy now, pay later platform. This segment also provides Pay in 4, monthly payment solutions, advertising and affiliate, shop directory, and Cash App Pay services; and business accounts, and Afterpay and Afterpay Plus cards. In addition, the company operates TIDAL, a platform for musicians and fans; TBD, an open developer platform focused on making the decentralized financial world accessible; Bitkey, a self-custody bitcoin wallet; and Spiral, which focuses on bitcoin open source work. It serves businesses, sellers, and individuals through e-commerce and retail distribution channels. The company was formerly known as Square, Inc. and changed its name to Block, Inc. in December 2021. Block, Inc. was incorporated in 2009 and is based in Oakland, California."
FMG.AX,Fortescue Ltd,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Fortescue Ltd engages in the exploration, development, production, processing, and sale of iron ore in Australia, China, and internationally. It explores for copper, gold, and lithium deposits; and rare earth elements. The company provides port towage services; owns and operates rail and port facilities; and focuses on producing green energy and green hydrogen, including derivatives comprising green ammonia. The company was formerly known as Fortescue Metals Group Limited and changed its name to Fortescue Ltd in November 2023. Fortescue Ltd was incorporated in 1983 and is headquartered in Perth, Australia."
RMD.AX,ResMed Inc.,Medical Instruments & Supplies,medical-instruments-supplies,Medical Instruments & Supplies,Healthcare,healthcare,Healthcare,"ResMed Inc. develops, manufactures, distributes, and markets medical devices and cloud-based software applications for the healthcare markets. The company operates in two segments, Sleep and Respiratory Care, and Software as a Service. It offers various products and solutions for a range of respiratory disorders, including ApneaLink Air, a portable diagnostic device that measures oximetry, respiratory effort, pulse, nasal flow, and snoring; and NightOwl, a portable, cloud-connected, and disposable diagnostic device that measures AHI based on derived peripheral arterial tone, actigraphy, and oximetry over several nights. The company also provides AirView, a cloud-based system that enables remote monitoring and changing of patients' device settings; myAir, a personalized therapy management application for patients with sleep apnea that provides support, education, and troubleshooting tools for increased patient engagement and improved compliance; U-Sleep, a compliance monitoring solution that enables home medical equipment (HME) to streamline their sleep programs; connectivity module and propeller solutions; and Propeller portal. It offers out-of-hospital software solution, such as Brightree business management software and service solutions to providers of HME, pharmacy, home infusion, orthotics, and prosthetics services; MatrixCare care management and related ancillary solutions to senior living, skilled nursing, life plan communities, home health, home care, and hospice organizations, as well as related accountable care organizations; HEALTHCAREfirst that offers electronic health record, software, billing and coding services, and analytics for home health and hospice agencies; and MEDIFOX DAN's software solutions. The company markets its products to sleep clinics, home healthcare dealers, and hospitals through a network of distributors and direct sales force. ResMed Inc. was founded in 1989 and is headquartered in San Diego, California."
WDS.AX,Woodside Energy Group Ltd,Oil & Gas E&P,oil-gas-e-p,Oil & Gas E&P,Energy,energy,Energy,"Woodside Energy Group Ltd engages in the exploration, evaluation, development, production, and marketing of hydrocarbons in the Asia Pacific, Africa, the Americas, and the Europe. The company produces liquefied natural gas, pipeline gas, crude oil and condensate, and natural gas liquids. It holds interests in the Pluto LNG, North West Shelf, Wheatstone and Julimar-Brunello, Bass Strait, Ngujima-Yin FPSO, Okha FPSO, Pyrenees FPSO, Macedon, Shenzi, Mad dog, Greater Angostura, as well as Scarborough, Sangomar, Trion, Calypso, Browse, Liard, Atlantis, Woodside Solar opportunity, and Sunrise and Troubadour. The company involves in development of new energy products and carbon services. The company was formerly known as Woodside Petroleum Ltd and changed its name to Woodside Energy Group Ltd in May 2022. Woodside Energy Group Ltd was founded in 1954 and is headquartered in Perth, Australia."
TLS.AX,Telstra Group Limited,Telecom Services,telecom-services,Telecom Services,Communication Services,communication-services,Communication Services,"Telstra Group Limited engages in the provision of telecommunications and information services to businesses, government, and individuals in Australia and internationally. It operates through six segments: Telstra Consumer; Telstra Business; Telstra Enterprise Australia; Telstra International; Networks, IT and Products; and Telstra InfraCo. The company offers telecommunication and technology products and services to consumer and small and medium business customers using mobile and fixed network technologies, as well as operates call centers, retail stores, a dealership network, digital channels, distribution systems, and Telstra Plus customer loyalty program. It also provides network capacity and management, unified communications, cloud, security, industry solutions, integrated and monitoring services to government and large enterprise and business customers; wholesale services, including voice and data; and telecommunication products and services to other carriers, carriage service providers, and internet service providers, as well as builds and manages digital platforms. In addition, the company operates the fixed passive network infrastructure, including data centers, exchanges, poles, ducts, pits and pipes, and fiber network; provides wholesale customers with access to network infrastructure; offers long-term access to components of infrastructure under the infrastructure services agreement; and operates the passive and physical mobile tower. The company was formerly known as Telstra Corporation Limited and changed its name to Telstra Group Limited in November 2022. Telstra Group Limited was founded in 1901 and is based in Melbourne, Australia."
WTC.AX,WiseTech Global Limited,Software - Application,software-application,Software - Application,Technology,technology,Technology,"WiseTech Global Limited engages in the development and provision of software solutions to the logistics execution industry in the Americas, the Asia Pacific, Europe, the Middle East, and Africa. It develops, sells, and implements software solutions that enable and empower logistics service providers to facilitate the movement and storage of goods and information. The company offers CargoWise, a software platform for logistics service providers that enables execution of complex logistics transactions and manage operations on one global database across multiple users, functions, offices, corporations, currencies, countries, and languages. It also provides CustomsWare, a customs declaration management and related international trade software solution; customs compliance and warehouse solutions; Blume Global, a multimodal supply chain orchestration platform that unites end-to-end visibility, supplier management, and logistics execution; container yard/terminal management software; MatchBox Exchange platform for the supply of empty containers; Trinium-TMS, enables companies to automate their processes; parcel shipping software; and SmartFreight, a less than truckload shipping software. In addition, the company offers customs and warehouse management, freight forwarding, warehousing, and transport solutions; customs clearance solutions; customs compliance consultancy solutions; customs tracking solutions; software solutions for shipping and port logistics businesses; cloud-enabled customs compliance solutions; trade compliance solutions; container optimization solutions; transport and logistics solutions; freight rate management; trade processes and transaction digitizing solutions; automation solutions for logistics organizations; LTL and logistics transportation management solutions; rate comparison services; messaging integration solutions; and data integration systems. WiseTech Global Limited was incorporated in 1994 and is based in Alexandria, Australia."
WOW.AX,Woolworths Group Limited,Grocery Stores,grocery-stores,Grocery Stores,Consumer Defensive,consumer-defensive,Consumer Defensive,"Woolworths Group Limited operates retail stores in Australia and New Zealand. It operates through Australian Food, Australian B2B, New Zealand Food, BIG W, and Other segments. The Australian Food segment procures and resells food and related products; and provides services to customers in Australia. The Australian B2B segment engages in procurement and distribution of food and related products for resale to other businesses, as well as provision of supply chain services to business customers in Australia. The New Zealand Food segment is involved in the procurement of food and drinks, and provides services to retail customers in New Zealand. BIG W segment procures discount general merchandise products to customers in Australia. The Other segment operates Quantium, Petstock, and MyDeal retail stores. The company was formerly known as Woolworths Limited and changed its name to Woolworths Group Limited in December 2017. Woolworths Group Limited was incorporated in 1924 and is based in Bella Vista, Australia."
TCL.AX,Transurban Group,Infrastructure Operations,infrastructure-operations,Infrastructure Operations,Industrials,industrials,Industrials,"Transurban Group engages in the development, operation, management, and maintenance of toll road networks. It operates 22 toll roads in Melbourne, Sydney, and Brisbane in Australia; the Greater Washington, United States; and Montreal, Canada. The company is headquartered in Docklands, Australia."
ALL.AX,Aristocrat Leisure Limited,Gambling,gambling,Gambling,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Aristocrat Leisure Limited, together with its subsidiaries, operates as a gaming content and technology company in Australia and internationally. It operates through three segments: Gaming, Pixel United, and Interactive. The company designs, develops, assembles, distributes, sells, and services gaming content, platforms, and systems, including electronic gaming machines, casino management systems, and free-to-play mobile games. It also offers pixel united, a mobile-first games powerhouse; aristocrat gaming, a gaming content; and Interactive, an online real money gaming connected experience. In addition, the company provides online money gaming services; and cabinets and gaming products. Aristocrat Leisure Limited was founded in 1950 and is headquartered in North Ryde, Australia."
REA.AX,REA Group Limited,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,"REA Group Limited, together with its subsidiaries, engages in online property advertising business in Australia, India, the United States, Malaysia, Singapore, Thailand, Vietnam, and internationally. It provides property and property-related services on websites and mobile applications. The company operates residential, commercial, and share property sites, such as realestate.com.au, realcommercial.com.au, flatmates.com.au, property.com.au, housing.com, makaan.com, proptiger.com, and realtor.com. It is also involved in the provision of mortgage brokerage and home financing solutions; property data services; mortgage application and e-lodgement solutions for the broking and lending industries; commercial real estate information and technology; and vendor paid advertising and home preparation finance solutions. The company was formerly known as realestate.com.au Ltd. and changed its name to REA Group Limited in December 2008. REA Group Limited was incorporated in 1995 and is headquartered in Richmond, Australia. REA Group Limited operates as a subsidiary of News Corporation."
BXB.AX,Brambles Limited,Specialty Business Services,specialty-business-services,Specialty Business Services,Industrials,industrials,Industrials,"Brambles Limited operates as a supply-chain logistics company. It operates through CHEP North America and Latin America; CHEP Europe, Middle East, Africa, and India; and CHEP Australia, New Zealand and Asia, excluding India segments. The company engages in the pooling of unit-load equipment and associated services, focusing on the outsourced management of pallets, crates, and containers. It serves customers in the fast-moving consumer goods, fresh produce, beverage, retail, and general manufacturing industries. Brambles Limited was founded in 1875 and is based in Sydney, Australia."
COL.AX,Coles Group Limited,Grocery Stores,grocery-stores,Grocery Stores,Consumer Defensive,consumer-defensive,Consumer Defensive,"Coles Group Limited operates as a retailer in Australia. It operates through Supermarkets and Liquor segments. The company operates various supermarkets, which offers fresh food, groceries, general merchandise, and liquor; and coles.com.au, which offers a choice of home delivery, including same-day, overnight drop and go services, and pick up from click and collect locations. Its Coles Financial Services provides insurance, credit cards, and personal loans to Australian families. The company is also involved in the retailing of liquor through its various stores under the Liquorland, First Choice Liquor Market, and Vintage Cellars brand names, as well as retail media services through its store network and online platforms. In addition, it operates as flybuys loyalty program. The company was formerly known as Coles Myer Ltd. and changed its name to Coles Group Limited. Coles Group Limited was founded in 1914 and is based in Hawthorn East, Australia."
QBE.AX,QBE Insurance Group Limited,Insurance - Property & Casualty,insurance-property-casualty,Insurance - Property & Casualty,Financial Services,financial-services,Financial Services,"QBE Insurance Group Limited engages in underwriting general insurance and reinsurance risks in the Australia Pacific, North America, and internationally. It offers range of commercial, personal, and specialty products, such as commercial and domestic property, agriculture, public/product liability, motor and motor casualty, professional indemnity, workers' compensation, accident, health, financial and credit, and other insurance products, as well as marine, energy and aviation insurance products, and risk management solutions. The company also manages Lloyd's syndicates, as well as provides investment management services. QBE Insurance Group Limited was founded in 1886 and is headquartered in Sydney, Australia."
JHX.AX,James Hardie Industries plc,Building Materials,building-materials,Building Materials,Basic Materials,basic-materials,Basic Materials,"James Hardie Industries plc engages in the manufacture and sale of fiber cement, fiber gypsum, and cement bonded building products for interior and exterior building construction applications primarily in the United States, Australia, Europe, New Zealand, and the Philippines. It operates in three segments: North America Fiber Cement, Asia Pacific Fiber Cement, and Europe Building Products. The company offers fiber cement interior linings, exterior siding products, and related accessories; and various fiber cement products for a range of applications, including external cladding, internal walls, ceilings, floors, soffits, fences, and facades. It also provides fiber gypsum and cement-bonded boards for use in the timber frame construction, dry lining, DIY, and structural fire protection applications. The company's products are used in residential repair and remodel, and commercial and residential new construction markets. James Hardie Industries plc was founded in 1888 and is headquartered in Dublin, Ireland."
AMC.AX,Amcor plc,Packaging & Containers,packaging-containers,Packaging & Containers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Amcor plc develops, produces, and sells packaging products in Europe, North America, Latin America, and the Asia Pacific. The company operates in two segments, Flexibles and Rigid Packaging. The Flexibles segment offers flexible and film packaging products in the food and beverage, medical and pharmaceutical, fresh produce, snack food, personal care, and other industries. The Rigid Packaging segment provides rigid containers for various beverage and food products, including carbonated soft drinks, water, juices, sports drinks, milk-based beverages, spirits and beer, sauces, dressings, spreads, and personal care items; and plastic caps for various applications. It sells its products through its direct sales force. The company was incorporated in 1926 and is headquartered in Zurich, Switzerland."
SUN.AX,Suncorp Group Limited,Insurance - Property & Casualty,insurance-property-casualty,Insurance - Property & Casualty,Financial Services,financial-services,Financial Services,"Suncorp Group Limited provides insurance and banking products and services to retail, corporate, and commercial customers in Australia and New Zealand. The company operates through Consumer Insurance; Commercial and Personal Injury; and Suncorp New Zealand segments. The Consumer Insurance segment provides insurance products, including home and contents, motor, and boat insurance products. The Commercial and Personal Injury segment offers commercial motor, commercial property, marine, industrial special risks, public liability and professional indemnity, workers' compensation, and compulsory third party products. The Suncorp New Zealand segment provides general and life insurance products comprising home and contents, motor, commercial property, public liability and professional indemnity, life, trauma, total and permanent disablement, and income protection. The company was formerly known as Suncorp-Metway Limited and changed its name to Suncorp Group Limited in December 2010. The company was founded in 1902 and is headquartered in Brisbane, Australia."
STO.AX,Santos Limited,Oil & Gas E&P,oil-gas-e-p,Oil & Gas E&P,Energy,energy,Energy,"Santos Limited explores for, develops, produces, transports, and markets hydrocarbons in Australia and Papua New Guinea. The company's assets are located in the Cooper Basin, Queensland and NSW, Papua New Guinea, Western Australia, Northern Australia and Timor-Leste. It also holds an asset in Alaska, the United States; and engages in the development of decarbonization technologies, such as carbon capture and storage technologies. In addition, the company produces crude oil, liquefied petroleum gas, ethane, coal seam gas, liquefied natural gas, and condensate, as well as natural gas. Santos Limited was incorporated in 1954 and is headquartered in Adelaide, Australia."
XRO.AX,Xero Limited,Software - Application,software-application,Software - Application,Technology,technology,Technology,"Xero Limited, together with its subsidiaries, a software as a service company, provides online business solutions for small businesses and their advisors in Australia, New Zealand, and internationally. It offers Xero, an open platform that connects small businesses to a range of solutions, which helps to manage their finances. The company also provides Xero mobile app; and accountant/bookkeeper tools, including Xero HQ, Xero Practice Manager, Xero Workpapers, and Xero Cashbook or Xero Ledger. Xero Limited was incorporated in 2006 and is headquartered in Wellington, New Zealand."
FPH.AX,Fisher & Paykel Healthcare Corporation Limited,Medical Instruments & Supplies,medical-instruments-supplies,Medical Instruments & Supplies,Healthcare,healthcare,Healthcare,"Fisher & Paykel Healthcare Corporation Limited, together with its subsidiaries, designs, manufactures, markets, and sells medical device products and systems in North America, Europe, the Asia Pacific, and internationally. It provides its products for use in acute and chronic respiratory care, and surgery, as well as the treatment of obstructive sleep apnea (OSA) in the home and hospital. The company also offers adult respiratory products, including optiflow nasal high flow therapy, invasive ventilation, and noninvasive ventilation. In addition, it provides infant respiratory products, such as resuscitation, invasive ventilation, continuous positive airway pressure (CPAP) therapy, and nasal high flow therapy products. Further, the company offers hospital products comprising humidification products, breathing circuits, chambers, masks, nasal cannulas, surgical, accessories, and interfaces; and homecare products that include masks, CPAP devices, software and data management products, and humidifiers. Fisher & Paykel Healthcare Corporation Limited was founded in 1934 and is headquartered in Auckland, New Zealand."
SCG.AX,Scentre Group,REIT - Retail,reit-retail,REIT - Retail,Real Estate,real-estate,Real Estate,"Scentre Group owns and operates a leading portfolio of 42 Westfield destinations with 37 located in Australia and five in New Zealand. Westfield destinations are strategically located in close proximity to 20 million people across Australia and New Zealand. The Trust has a joint interest in 39 Westfield destinations. Scentre Group's growth is driven by our ability to attract more people to our Westfield destinations. Scentre Group's unique capability to activate our destinations enables us to create moments that connect and celebrate our local communities. We create the places and experiences more people choose to come, more often, for longer."
REH.AX,Reece Limited,Industrial Distribution,industrial-distribution,Industrial Distribution,Industrials,industrials,Industrials,"Reece Limited engages in the distribution of plumbing, bathroom, heating, ventilation, air-conditioning, waterworks, and refrigeration products to commercial and residential customers in Australia, the United States, and New Zealand. It also distributes irrigation and pools, and kitchen products. The company serves customers in the trade, retail, commercial, and infrastructure markets. The company was formerly known as Reece Australia Limited and changed its name to Reece Limited in November 2015. Reece Limited was founded in 1919 and is based in Cremorne, Australia."
COH.AX,Cochlear Limited,Medical Devices,medical-devices,Medical Devices,Healthcare,healthcare,Healthcare,"Cochlear Limited provides implantable hearing solutions for children and adults worldwide. It offers cochlear implant systems, sound processor upgrades, bone conduction systems, accessories, and other products. The company was founded in 1981 and is headquartered in Sydney, Australia."
NST.AX,Northern Star Resources Limited,Gold,gold,Gold,Basic Materials,basic-materials,Basic Materials,"Northern Star Resources Limited engages in the exploration, development, mining, and processing of gold deposits. The company also sells refined gold. It operates in Western Australia, the Northern Territory, and Alaska. The company was incorporated in 2000 and is headquartered in Subiaco, Australia."
IAG.AX,Insurance Australia Group Limited,Insurance - Property & Casualty,insurance-property-casualty,Insurance - Property & Casualty,Financial Services,financial-services,Financial Services,"Insurance Australia Group Limited underwrites general insurance products and provides investment management services in Australia and New Zealand. It offers cars, motorcycles, dirt bike, homes, businesses, travel, boats, caravans, landlord, farm, business, trade, strata and investment property requirements, rural and personal, construction and engineering, compulsory third party, directors and officers, professional indemnity, workers' compensation, marine, liability, homeowners warranty, casualty insurance products, as well as reinsurance. The company sells its products through branches and agencies, call centers, online, insurance brokers, authorized representatives, motor dealerships, and financial institutions; and third parties under the NRMA Insurance, CGU, ROLLiN, WFI, Swann Insurance, NZI, State, AMI, and Lumley Insurance brands. The company was formerly known as NRMA Insurance Group Limited and changed its name to Insurance Australia Group Limited in 2002. Insurance Australia Group Limited was founded in 1920 and is based in Sydney, Australia."
PME.AX,Pro Medicus Limited,Health Information Services,health-information-services,Health Information Services,Healthcare,healthcare,Healthcare,"Pro Medicus Limited, a healthcare informatics company, engages in the development and supply of healthcare imaging software, and radiology information (RIS) system software and services to hospitals, imaging centers, and health care groups in Australia, North America, and Europe. The company offers Visage RIS Visage 7 Enterprise Imaging Platform, a healthcare imaging software that provides radiologists, physicians, and clinicians with access and visualization capability for viewing 2-D, 3-D, and 4-D medical images; and picture archive and communication system (PACS)/digital imaging software. It also provides Visage RIS, a proprietary medical software for practice management, training, installation, professional services, and after-sale support and service products; Promedicus.net, an e-health platform for secure email and integration products. In addition, the company offers Visage Ease Pro, a mobile application that provides users the ability to interpret various diagnostic imaging studies stored on a Visage 7 server. The company was incorporated in 1983 and is headquartered in Richmond, Australia."
SVW.AX,Seven Group Holdings Limited,N.A,N.A,N.A,N.A,N.A,N.A,N.A
